collection_name,creator,rarity_score,trait_count,past_avg_price,floor_price,sales_last_7d,sales_last_30d,twitter_followers,discord_members,engagement_rate,listing_count,days_since_mint,blockchain,sale_price
Meebits,KevinRose_Team,428.59,1.0,24.4349,7.2824,168,336,1786897,59876.0,0.0174,4789,721,ethereum,15.3242
World of Women,Decentraland_Fdn,431.74,6.0,10.4659,3.2554,39,117,76859,40066.0,0.0723,4755,97,polygon,3.4939
CloneX,KevinRose_Team,48.56,1.0,4.9258,2.0568,83,166,1504477,105974.0,0.1027,4817,1172,solana,2.313
CryptoPunks,SnowFro,76.97,11.0,67.3496,30.7712,95,475,1236098,156223.0,0.0732,1815,667,solana,22.8175
Invisible Friends,WoW_NFT,224.5,14.0,33.5746,15.78,138,276,612253,34656.0,0.0516,336,802,ethereum,16.7077
Decentraland,Invisible_Studio,93.67,5.0,2.0628,1.7985,70,350,572071,304105.0,0.1029,1192,576,polygon,1.3029
CloneX,SnowFro,368.17,5.0,28.643,8.8652,104,416,949990,205670.0,0.0995,1064,296,polygon,5.6423
Decentraland,Decentraland_Fdn,29.96,8.0,5.598,1.8382,100,200,1066161,300837.0,0.0879,398,802,ethereum,5.4447
CryptoPunks,Invisible_Studio,275.3,,2.3151,1.0815,2,8,1780725,251570.0,0.0797,3549,346,ethereum,5.842
CloneX,YugaLabs,192.01,6.0,26.3212,15.4958,113,452,522660,135894.0,0.1062,2617,263,ethereum,20.0175
Doodles,Decentraland_Fdn,233.01,6.0,1.077,0.5799,113,226,1180682,,0.0611,3611,663,polygon,1.1944
Pudgy Penguins,CyberKongz_Dev,212.95,3.0,17.8259,13.6294,198,396,1373014,475555.0,0.0112,1006,428,ethereum,16.166
Pudgy Penguins,LarvaLabs,77.43,4.0,9.2808,3.3093,102,306,25758,158446.0,0.0811,3483,1073,solana,4.2316
Chromie Squiggle,CoolCats_Dev,110.92,9.0,8.3156,3.4769,179,358,1791454,153735.0,0.1088,333,791,ethereum,7.6687
VeeFriends,Evan_Conceicao,33.34,11.0,11.6168,7.328,69,276,1983947,258102.0,0.0456,3610,448,solana,4.5875
Azuki,CyberKongz_Dev,58.53,11.0,23.0225,9.0019,139,556,173586,402119.0,0.022,4067,43,ethereum,15.0727
Azuki,KevinRose_Team,488.97,8.0,5.7328,1.6626,180,360,524167,265780.0,0.1369,1275,409,polygon,2.4217
Decentraland,Azuki_Team,140.61,11.0,13.8492,10.6044,30,60,1572744,416006.0,0.1297,1649,139,ethereum,14.242
Chromie Squiggle,YugaLabs,154.21,9.0,11.0204,5.1348,113,452,1618528,37131.0,0.0931,2182,263,ethereum,5.6788
Invisible Friends,Sandbox_AG,64.43,5.0,2.2193,0.9928,183,549,312612,49307.0,0.1182,2901,340,polygon,0.8997
Azuki,LarvaLabs,377.83,5.0,5.1794,3.6552,111,333,1834964,203218.0,0.1454,2648,783,solana,4.0854
Pudgy Penguins,RTFKTstudios,462.15,8.0,54.7597,23.5126,178,534,659154,116353.0,0.0858,532,128,polygon,8.8711
Doodles,GaryVee,395.09,5.0,84.2815,33.5123,83,166,587462,11708.0,0.0374,1899,195,ethereum,50.0871
Invisible Friends,LarvaLabs,306.7,11.0,14.7691,10.5996,177,885,715051,107674.0,0.0962,2532,48,ethereum,10.0759
Doodles,Azuki_Team,406.8,3.0,1.4897,1.0742,125,625,1343264,135623.0,0.1373,3072,1100,ethereum,8.8966
Decentraland,CyberKongz_Dev,202.71,1.0,25.3613,8.0746,95,380,413016,459833.0,0.1038,3162,1184,ethereum,11.2408
Doodles,CoolCats_Dev,429.89,7.0,22.1266,12.4414,42,126,1085954,,0.0049,3332,358,polygon,4.2288
CyberKongz,RTFKTstudios,399.46,2.0,27.5782,10.7065,34,68,150931,175617.0,0.1377,2254,547,polygon,4.4629
VeeFriends,Invisible_Studio,1.86,3.0,29.5079,11.4954,57,171,294288,479022.0,0.1133,2517,362,polygon,4.967
RTFKT,YugaLabs,244.41,6.0,21.4699,6.9304,150,750,1537088,418252.0,0.0609,1694,640,solana,9.4238
Bored Ape YC,Evan_Conceicao,133.04,,11.7087,4.1087,93,186,767656,125401.0,0.1481,1365,661,polygon,2.78
Pudgy Penguins,Decentraland_Fdn,44.03,4.0,6.6982,2.1597,77,385,1587358,239061.0,0.1085,1561,306,polygon,1.9833
CyberKongz,Sandbox_AG,423.25,8.0,1.1777,0.4595,93,279,1475497,460856.0,0.124,2197,774,ethereum,5.1621
Invisible Friends,CoolCats_Dev,4.97,6.0,14.3063,6.7367,68,204,1993668,228663.0,0.1415,555,10,ethereum,10.2311
Chromie Squiggle,CyberKongz_Dev,365.35,,11.1155,5.6028,161,805,275573,185515.0,0.0069,1101,773,ethereum,10.2442
Bored Ape YC,GaryVee,494.11,2.0,17.0419,8.7503,78,390,1869241,451720.0,0.1164,587,901,solana,8.9173
Meebits,Sandbox_AG,241.53,11.0,1.842,0.9003,94,470,1784049,330255.0,0.0586,2049,64,ethereum,5.8971
VeeFriends,CyberKongz_Dev,186.25,9.0,12.8601,9.7184,111,333,869567,220506.0,0.1305,2483,868,ethereum,7.1
Sandbox Land,WoW_NFT,303.31,10.0,108.6476,52.7442,129,516,271010,434876.0,0.132,824,885,polygon,25.6476
Art Blocks,WoW_NFT,402.54,10.0,9.7183,4.9241,66,198,267209,372451.0,0.1245,702,1167,ethereum,10.2251
Otherdeed,SnowFro,120.89,1.0,4.5217,4.162,14,28,1021842,173969.0,0.1171,2633,967,ethereum,3.4859
Azuki,YugaLabs,126.1,12.0,10.9599,6.4935,137,411,21894,212246.0,0.1193,1125,26,solana,4.0735
Meebits,CoolCats_Dev,303.98,5.0,147.8968,51.3572,112,224,191814,23794.0,0.0452,4341,99,polygon,23.2573
CyberKongz,Meebits_Dev,470.0,10.0,3.2079,1.3121,129,258,1063269,51024.0,0.0616,832,165,ethereum,6.6466
World of Women,KevinRose_Team,149.92,5.0,17.2461,5.7193,108,432,1126582,477194.0,0.0181,2414,698,solana,3.6259
VeeFriends,Meebits_Dev,,,4.0458,1.7167,101,404,1721202,26642.0,0.1248,4014,854,ethereum,5.142
Mutant Ape YC,CoolCats_Dev,,10.0,7.2884,2.3247,189,567,1948884,418396.0,0.0973,528,789,solana,4.7322
VeeFriends,Azuki_Team,88.93,14.0,12.6269,4.2228,10,40,536173,104199.0,0.0923,2254,396,ethereum,9.1517
Cool Cats,Azuki_Team,39.41,13.0,28.1204,22.5738,18,90,660852,,0.0377,2364,241,ethereum,14.5329
Art Blocks,GaryVee,295.29,11.0,133.94,38.9076,187,935,398283,361161.0,0.0926,2767,77,ethereum,98.2103
Decentraland,Azuki_Team,13.11,8.0,7.9564,7.6735,177,708,449610,495590.0,0.0687,4430,449,ethereum,7.0441
Azuki,KevinRose_Team,91.04,8.0,7.108,2.8522,82,164,878187,186887.0,0.1493,2918,361,solana,3.247
Otherdeed,WoW_NFT,311.48,14.0,266.038,89.2362,108,432,1986251,462547.0,0.1296,1891,365,ethereum,149.9162
CloneX,LarvaLabs,330.1,3.0,4.9092,2.683,89,178,1787118,227108.0,0.0794,1987,106,ethereum,4.6376
Bored Ape YC,CoolCats_Dev,255.7,14.0,5.6379,2.2584,199,398,1826174,433579.0,0.1215,3123,350,ethereum,6.0367
Doodles,RTFKTstudios,192.49,10.0,1.0148,0.5326,91,273,903621,51028.0,0.0255,1499,1005,polygon,1.5269
Bored Ape YC,RTFKTstudios,288.52,9.0,27.5611,23.9342,151,453,1314782,134099.0,0.0161,3426,289,polygon,5.927
RTFKT,Invisible_Studio,322.05,9.0,14.6264,14.3234,73,146,1445564,311556.0,0.095,1918,1052,solana,7.5836
Moonbirds,Invisible_Studio,401.94,12.0,100.9052,81.5623,76,152,486639,353084.0,0.1093,310,104,ethereum,60.0679
Sandbox Land,RTFKTstudios,396.58,10.0,1.0539,0.8458,134,670,925321,401743.0,0.0089,2678,764,ethereum,7.66
Doodles,Invisible_Studio,332.74,2.0,65.1652,25.7853,79,316,1100598,179025.0,0.0309,1264,130,ethereum,35.442
Chromie Squiggle,Evan_Conceicao,447.22,11.0,11.2844,4.8752,2,8,746231,312379.0,0.0811,1799,463,ethereum,8.4591
World of Women,KevinRose_Team,419.17,11.0,25.2165,11.7908,34,68,946467,310416.0,0.0104,1625,1144,solana,15.3882
Mutant Ape YC,CyberKongz_Dev,67.49,13.0,1.6936,0.6204,174,870,882103,492308.0,0.0642,691,922,polygon,0.668
RTFKT,YugaLabs,478.38,14.0,27.1914,26.0938,73,219,122757,58686.0,0.0728,1452,616,ethereum,22.933
Meebits,KevinRose_Team,445.98,14.0,19.3193,11.517,20,80,1536916,8269.0,0.1383,4569,758,ethereum,13.2592
CyberKongz,Decentraland_Fdn,161.14,1.0,12.5899,4.2772,187,561,1800851,287521.0,0.048,1607,792,solana,4.3341
Moonbirds,CyberKongz_Dev,11.07,9.0,31.8308,9.7195,199,398,1508934,,0.0261,3664,950,ethereum,12.8661
Azuki,CyberKongz_Dev,302.38,14.0,3.7486,1.7886,99,297,1867375,98007.0,0.0021,2049,711,ethereum,5.5948
Bored Ape YC,Invisible_Studio,219.77,14.0,2.6915,2.236,125,250,863800,250052.0,0.0191,340,613,ethereum,6.3422
Pudgy Penguins,CyberKongz_Dev,375.03,8.0,7.7015,2.5699,150,750,112146,133973.0,0.1129,4190,91,ethereum,5.3169
Art Blocks,WoW_NFT,,13.0,1.5589,0.4852,13,39,535601,133277.0,0.0673,4529,1150,ethereum,5.2912
Bored Ape YC,RTFKTstudios,39.17,13.0,25.6409,12.6052,59,295,1708072,173197.0,0.0306,1185,679,ethereum,18.5268
Moonbirds,KevinRose_Team,123.1,1.0,30.1187,18.726,112,560,278684,,0.14,860,348,ethereum,21.4214
Meebits,YugaLabs,441.38,13.0,2.1441,1.9317,109,218,1094497,182984.0,0.1183,4654,162,ethereum,7.0061
Otherdeed,Azuki_Team,19.81,9.0,16.864,6.8063,66,198,3238,396625.0,0.018,497,725,ethereum,10.3554
RTFKT,CyberKongz_Dev,368.6,9.0,10.6715,3.2588,0,0,647903,79595.0,0.0411,4445,939,ethereum,11.9741
CloneX,Azuki_Team,146.68,3.0,17.9075,6.6454,190,380,226958,51307.0,0.1276,874,969,solana,4.1632
Azuki,SnowFro,226.87,13.0,3.7844,2.1105,122,610,227262,83333.0,0.1042,4334,1063,polygon,1.839
Art Blocks,Evan_Conceicao,265.97,5.0,4.0477,1.5525,151,604,329728,458677.0,0.1419,4665,1072,ethereum,4.9111
Invisible Friends,SnowFro,125.79,6.0,48.7874,15.8392,87,261,1076750,138795.0,0.0124,1207,747,ethereum,30.4068
World of Women,WoW_NFT,326.33,5.0,9.0889,4.151,101,202,1380030,15058.0,0.1165,1114,1136,solana,4.4565
Invisible Friends,YugaLabs,347.03,14.0,154.6967,50.7307,88,352,576691,157723.0,0.0124,539,89,ethereum,90.7424
CyberKongz,KevinRose_Team,43.44,7.0,9.3798,4.7378,85,340,1635922,344233.0,0.0512,3937,474,ethereum,4.5291
Otherdeed,Meebits_Dev,,2.0,2.7603,1.4751,134,268,784252,181062.0,0.1128,1753,581,solana,1.7065
RTFKT,Decentraland_Fdn,372.44,,48.0126,19.5374,199,398,1474022,192311.0,0.1069,3218,839,ethereum,28.4081
Azuki,RTFKTstudios,361.1,14.0,20.653,9.554,155,465,1059630,43305.0,0.0013,3074,359,polygon,5.965
World of Women,RTFKTstudios,272.76,4.0,36.9118,10.7215,133,532,1446603,333752.0,0.0311,2595,348,ethereum,23.8344
CryptoPunks,Meebits_Dev,389.06,11.0,42.8497,18.7037,2,10,1957424,110347.0,0.117,1220,1084,polygon,8.9108
CryptoPunks,CoolCats_Dev,,1.0,4.0193,2.0476,102,306,1988644,48908.0,0.0198,1834,779,ethereum,4.6545
VeeFriends,YugaLabs,59.99,13.0,7.6453,3.847,191,382,1174582,357444.0,0.0496,2508,762,ethereum,5.4658
Mutant Ape YC,YugaLabs,329.09,10.0,8.6459,3.6483,79,395,1925214,468546.0,0.0284,473,221,ethereum,10.3674
Otherdeed,KevinRose_Team,346.97,4.0,1.7973,0.9523,109,327,1402952,305305.0,0.0176,2025,600,ethereum,5.108
Azuki,RTFKTstudios,407.45,,9.1697,3.2664,64,256,538059,468710.0,0.1257,3556,506,solana,5.0219
CryptoPunks,YugaLabs,91.34,5.0,43.4814,22.2792,38,76,1870590,201146.0,0.0101,2114,744,ethereum,24.1404
Azuki,Sandbox_AG,258.87,14.0,11.6806,5.9584,141,282,290628,259748.0,0.0809,1979,1104,ethereum,8.9233
Invisible Friends,CoolCats_Dev,330.75,9.0,2.2656,0.8911,62,124,936681,,0.1042,4203,334,polygon,1.6249
Mutant Ape YC,Meebits_Dev,112.63,7.0,0.7982,0.6928,117,585,307019,254841.0,0.0096,2679,973,polygon,0.8131
VeeFriends,LarvaLabs,258.95,1.0,87.1734,33.0404,118,236,1568909,446453.0,0.0954,3688,760,ethereum,40.2769
Azuki,CoolCats_Dev,319.58,4.0,9.0979,4.0213,169,845,1791265,317440.0,0.0508,268,596,ethereum,9.2006
Cool Cats,WoW_NFT,108.01,1.0,4.3948,2.0608,187,935,1637646,13455.0,0.1252,4641,1140,solana,2.5116
Azuki,GaryVee,188.41,12.0,9.0265,3.2259,110,440,205142,,0.1199,3881,177,polygon,1.7427
CryptoPunks,CyberKongz_Dev,108.95,2.0,2.2045,0.7613,10,50,541967,188682.0,0.1193,4135,814,polygon,1.011
World of Women,CoolCats_Dev,451.57,2.0,77.0267,24.7225,116,580,680618,271818.0,0.0604,3464,478,solana,21.1843
Chromie Squiggle,WoW_NFT,119.16,2.0,5.4166,2.7964,176,704,231723,278919.0,0.1236,2696,818,polygon,1.6638
VeeFriends,Invisible_Studio,61.3,14.0,42.0304,23.1242,95,475,1060927,294636.0,0.0949,2651,167,ethereum,21.2902
Otherdeed,KevinRose_Team,18.54,14.0,13.2838,4.7683,112,448,68519,433130.0,0.0574,3126,883,ethereum,9.4683
Invisible Friends,KevinRose_Team,23.43,11.0,61.1522,24.9142,152,304,1227094,429329.0,0.013,2486,83,ethereum,38.4382
Azuki,Azuki_Team,96.6,2.0,15.7308,6.0984,87,174,1149612,485757.0,0.011,3650,419,polygon,2.355
Moonbirds,Meebits_Dev,304.5,8.0,29.8049,12.4769,82,246,1191667,,0.0385,1691,1087,solana,11.8112
Chromie Squiggle,LarvaLabs,9.81,14.0,31.1403,10.6218,96,288,1825708,142711.0,0.0456,3849,759,ethereum,21.0854
World of Women,Evan_Conceicao,144.09,2.0,13.9667,9.4683,170,510,1572922,97997.0,0.1392,1718,590,ethereum,8.7592
World of Women,CoolCats_Dev,,12.0,16.2569,6.8041,97,194,519756,424680.0,0.15,2384,397,ethereum,8.0879
CyberKongz,CoolCats_Dev,202.43,1.0,4.7287,3.3891,65,260,1143600,456964.0,0.0224,351,108,solana,3.9774
Doodles,LarvaLabs,,12.0,90.0794,44.6351,119,357,1605014,18722.0,0.1415,4502,134,ethereum,35.8318
Decentraland,WoW_NFT,304.16,8.0,4.0147,1.5093,138,690,1702167,108058.0,0.1063,3436,860,ethereum,5.3051
Moonbirds,CyberKongz_Dev,344.52,13.0,10.058,4.5049,182,910,1286550,339724.0,0.0753,1255,329,ethereum,8.0772
Pudgy Penguins,YugaLabs,365.94,6.0,8.8922,4.5625,178,712,169718,82664.0,0.1432,234,89,ethereum,11.3421
CloneX,WoW_NFT,112.95,11.0,23.3351,7.264,156,780,869533,25116.0,0.1073,4261,526,ethereum,11.5289
Meebits,GaryVee,434.38,12.0,7.8485,2.6768,153,459,1718001,498529.0,0.0895,17,476,ethereum,9.2302
Mutant Ape YC,RTFKTstudios,,5.0,15.1411,6.5384,89,445,148184,48180.0,0.0322,2414,1149,ethereum,10.4485
Meebits,GaryVee,29.27,9.0,12.352,3.6597,68,340,1180211,106787.0,0.0374,164,277,ethereum,9.4188
VeeFriends,KevinRose_Team,220.94,7.0,1.3837,0.6714,112,224,1081473,494477.0,0.1368,3470,321,ethereum,3.4464
Pudgy Penguins,Azuki_Team,384.11,7.0,13.465,4.5334,141,564,446253,50136.0,0.033,1025,198,ethereum,8.4438
Mutant Ape YC,Decentraland_Fdn,156.14,12.0,1.6987,1.1964,103,309,688515,399930.0,,2141,226,ethereum,2.7474
Azuki,CyberKongz_Dev,191.4,4.0,0.9587,0.5592,41,123,1955497,281047.0,0.0407,2855,640,polygon,1.2457
Pudgy Penguins,KevinRose_Team,315.17,2.0,9.7459,5.2817,2,6,1191474,269997.0,0.0726,1859,268,ethereum,10.8974
Mutant Ape YC,YugaLabs,28.68,7.0,10.1775,8.0483,11,55,1879498,413614.0,0.0579,3408,863,ethereum,9.3389
Mutant Ape YC,Azuki_Team,483.5,12.0,19.01,8.432,85,425,942902,10768.0,0.1404,2545,981,ethereum,11.7708
Moonbirds,Invisible_Studio,88.07,3.0,13.1063,8.8517,158,474,1691528,30469.0,0.0634,2109,585,ethereum,9.1941
Pudgy Penguins,Invisible_Studio,14.31,5.0,1.1397,0.4408,157,471,1239870,97849.0,0.1335,1618,288,ethereum,3.1608
Pudgy Penguins,WoW_NFT,3.66,10.0,1.2913,0.8753,161,644,1823236,245103.0,0.0896,2049,985,ethereum,2.0583
Otherdeed,Invisible_Studio,200.38,7.0,62.6341,47.8574,141,564,653830,481116.0,0.0791,1612,1159,solana,19.7372
Art Blocks,Evan_Conceicao,442.24,9.0,4.3657,1.2755,4,12,764592,34344.0,0.0249,2888,1100,ethereum,7.3355
Azuki,CoolCats_Dev,410.06,8.0,24.6779,9.3279,176,528,81356,210133.0,0.0414,3825,1104,ethereum,19.1897
Doodles,YugaLabs,456.11,12.0,6.5667,1.9654,189,945,455995,214402.0,0.1302,2988,968,ethereum,9.8936
Bored Ape YC,GaryVee,267.36,13.0,10.9708,4.9313,169,507,277449,98327.0,0.1172,170,886,ethereum,8.5625
CloneX,Meebits_Dev,224.92,7.0,2.2711,2.0961,89,267,366216,172045.0,0.0677,4226,1147,ethereum,4.1576
CloneX,CyberKongz_Dev,193.54,7.0,21.4169,8.7921,42,126,617105,100573.0,0.1364,3932,407,polygon,3.8783
World of Women,Sandbox_AG,24.16,4.0,12.6526,5.2811,181,543,1747583,68650.0,0.1231,4097,1114,polygon,1.9927
CyberKongz,SnowFro,454.85,7.0,2.7151,2.6171,37,148,757377,260661.0,0.0177,258,25,ethereum,5.8581
Otherdeed,Meebits_Dev,248.59,12.0,4.0076,1.271,157,628,1653349,465517.0,0.0913,4119,999,ethereum,7.676
Art Blocks,SnowFro,228.08,8.0,15.7588,6.1801,193,386,1629428,202122.0,0.12,2340,401,ethereum,10.5567
Sandbox Land,CoolCats_Dev,258.07,10.0,2.9928,1.0458,180,900,1961886,317480.0,0.1214,4222,351,ethereum,4.9396
Mutant Ape YC,WoW_NFT,397.28,6.0,16.7288,7.4856,104,312,1017487,335105.0,0.0146,3909,810,polygon,3.8408
Pudgy Penguins,Azuki_Team,113.01,10.0,266.7489,104.7715,166,332,1696580,421543.0,0.0345,4400,210,ethereum,133.009
Meebits,LarvaLabs,355.24,10.0,37.2309,22.651,166,664,839143,412368.0,0.0625,618,1192,ethereum,27.8716
Pudgy Penguins,Sandbox_AG,355.67,8.0,36.4468,10.6123,194,388,1264915,452981.0,0.0385,2781,872,solana,11.0177
Pudgy Penguins,WoW_NFT,424.93,14.0,8.0955,4.0441,72,360,1621949,407263.0,0.0172,3645,24,ethereum,12.0056
RTFKT,Invisible_Studio,5.33,13.0,0.6152,0.4376,125,625,284992,465099.0,0.0947,2979,1014,ethereum,1.8652
Invisible Friends,YugaLabs,86.03,,1.0451,0.9169,163,652,115522,483037.0,0.0766,4060,130,polygon,0.7652
Mutant Ape YC,KevinRose_Team,236.05,4.0,54.1185,20.8917,45,225,330112,374082.0,0.0241,3638,987,ethereum,26.2788
Art Blocks,Evan_Conceicao,425.42,14.0,6.008,1.7372,45,135,1442358,246638.0,0.0884,188,975,ethereum,10.418
Mutant Ape YC,Decentraland_Fdn,482.59,6.0,6.2733,1.9365,77,231,947662,153543.0,0.0102,1003,772,ethereum,8.8927
Sandbox Land,KevinRose_Team,297.84,5.0,10.1223,3.6738,72,288,560360,285731.0,0.0581,3176,720,solana,3.7741
Bored Ape YC,SnowFro,106.85,12.0,4.356,1.253,150,450,1535707,414483.0,0.1191,1808,996,ethereum,5.4906
Cool Cats,YugaLabs,93.11,9.0,2.8865,1.0283,187,935,30663,376801.0,,1789,1020,ethereum,3.1137
Azuki,WoW_NFT,320.08,2.0,7.796,4.2183,31,93,346964,260139.0,0.0375,4564,848,ethereum,9.7345
Chromie Squiggle,CoolCats_Dev,105.82,2.0,3.8484,1.5375,65,195,939950,38152.0,0.1291,456,205,ethereum,2.1876
Moonbirds,SnowFro,276.99,12.0,2.2092,1.8419,185,740,1831077,135899.0,,2618,798,ethereum,5.0771
Pudgy Penguins,GaryVee,417.57,11.0,2.7279,1.7552,118,236,1498118,288644.0,0.0914,1564,242,ethereum,8.7695
Decentraland,YugaLabs,195.52,5.0,17.1444,8.3883,41,164,1367739,192948.0,0.1473,268,56,ethereum,12.4611
CloneX,LarvaLabs,189.86,13.0,5.1036,3.3921,120,600,1421901,228129.0,0.0377,1881,182,ethereum,6.965
Invisible Friends,YugaLabs,19.03,2.0,12.2397,3.6172,175,875,624962,150681.0,0.0113,2033,553,polygon,1.8074
World of Women,Evan_Conceicao,127.79,13.0,32.0066,9.1736,74,148,895999,38131.0,0.1267,2279,1156,ethereum,18.771
Doodles,Meebits_Dev,349.4,2.0,7.2842,3.7794,96,192,1771576,233155.0,0.0741,812,41,solana,4.8731
Azuki,RTFKTstudios,180.84,9.0,8.8999,3.2094,122,244,1459294,222535.0,0.0526,3643,89,ethereum,7.7334
CyberKongz,CyberKongz_Dev,79.99,12.0,15.9165,7.8817,168,840,1197461,390689.0,0.0092,1787,111,ethereum,14.9517
Invisible Friends,YugaLabs,53.78,9.0,13.4776,9.9925,112,336,166302,56155.0,0.0106,2871,229,polygon,3.6081
Otherdeed,WoW_NFT,,11.0,6.9208,3.7566,191,382,1466450,242485.0,0.0145,2729,649,solana,3.4885
Doodles,Meebits_Dev,329.91,5.0,7.8172,4.9369,150,600,731731,,0.0284,2826,985,ethereum,10.3948
Otherdeed,LarvaLabs,306.7,5.0,3.1924,1.7539,84,420,771191,134002.0,0.1456,2530,57,solana,2.7564
CloneX,WoW_NFT,259.74,4.0,2.4532,1.5955,97,194,1347971,158209.0,0.0429,1512,965,ethereum,4.8079
VeeFriends,YugaLabs,250.66,2.0,14.4474,11.2794,139,278,787404,43792.0,0.1227,2457,1095,ethereum,8.5391
CryptoPunks,Sandbox_AG,77.42,4.0,11.7992,7.6441,14,28,1145994,287319.0,0.0039,2656,96,solana,3.4956
Moonbirds,WoW_NFT,250.8,4.0,25.2654,7.7397,45,90,25728,427892.0,0.049,101,540,ethereum,13.011
Pudgy Penguins,Decentraland_Fdn,30.91,11.0,7.6153,6.2778,47,94,370433,240794.0,0.136,3621,977,polygon,1.7796
RTFKT,SnowFro,463.0,3.0,8.5833,4.7372,160,320,1076035,208742.0,0.0286,2231,840,ethereum,7.9611
Moonbirds,RTFKTstudios,29.96,3.0,23.9925,10.3366,164,656,1915461,374554.0,0.0433,1470,222,polygon,4.1654
Moonbirds,Azuki_Team,212.34,11.0,25.9647,13.765,163,326,1521713,221017.0,0.1242,154,178,ethereum,16.9956
Moonbirds,Azuki_Team,1.28,8.0,30.6852,13.3762,21,84,835433,199391.0,0.0191,1530,535,ethereum,13.0534
Moonbirds,LarvaLabs,393.29,4.0,4.4023,3.9712,59,177,1937664,381884.0,0.0089,2030,1017,ethereum,10.4413
Chromie Squiggle,RTFKTstudios,83.92,10.0,62.0604,23.6743,62,248,551187,142089.0,0.1449,4184,1138,ethereum,23.9959
CloneX,Meebits_Dev,462.53,4.0,14.2,5.8953,4,16,1784507,424878.0,0.0613,3238,574,ethereum,15.6743
Moonbirds,KevinRose_Team,22.94,11.0,25.8678,9.5721,51,204,807160,134143.0,0.099,2097,635,ethereum,7.8191
Chromie Squiggle,Azuki_Team,410.57,1.0,15.2031,6.2871,86,430,174438,,0.0199,638,670,ethereum,12.7832
Sandbox Land,YugaLabs,328.66,9.0,12.6272,6.028,177,354,5451,125197.0,0.0338,1381,588,ethereum,8.3336
Azuki,CoolCats_Dev,125.62,9.0,3.476,1.8535,34,136,1961049,316220.0,0.0695,4584,778,ethereum,3.6189
Pudgy Penguins,Evan_Conceicao,102.01,6.0,16.2843,10.3981,172,516,1284579,217156.0,0.1016,647,329,polygon,4.7717
Art Blocks,Sandbox_AG,179.48,10.0,306.5433,136.2312,163,652,299386,119654.0,0.0447,3156,648,polygon,44.5728
Invisible Friends,KevinRose_Team,414.37,6.0,3.0446,2.8584,31,62,1983968,372021.0,,2590,735,polygon,1.7049
Invisible Friends,YugaLabs,431.12,10.0,8.8849,4.8802,52,156,82708,467540.0,0.1174,1095,676,ethereum,11.3851
Otherdeed,RTFKTstudios,88.47,4.0,7.0698,2.6236,91,455,669710,14112.0,0.0832,4368,1169,solana,2.7373
Chromie Squiggle,CoolCats_Dev,177.37,8.0,3.1734,2.4952,188,940,1497985,284003.0,0.0694,1976,893,ethereum,5.2694
Bored Ape YC,LarvaLabs,119.51,11.0,33.0945,28.5981,156,468,106939,359285.0,0.0933,3309,881,ethereum,18.5701
RTFKT,YugaLabs,62.2,14.0,5.2572,1.9986,194,388,1811819,359830.0,0.11,493,967,ethereum,3.9529
Meebits,CyberKongz_Dev,323.58,6.0,5.0605,2.5373,62,248,1356223,110359.0,0.0211,4828,633,polygon,1.7441
Invisible Friends,KevinRose_Team,,7.0,2.004,0.667,181,543,1899590,57195.0,0.128,120,368,ethereum,4.9604
Invisible Friends,Sandbox_AG,113.47,7.0,6.0366,1.8056,191,573,1674586,256831.0,0.0739,1558,643,ethereum,5.213
Sandbox Land,Invisible_Studio,433.13,13.0,1.9572,0.5769,119,238,1650039,,0.1404,4580,1106,solana,2.766
World of Women,YugaLabs,374.41,14.0,19.743,9.5655,30,90,455387,144816.0,0.1434,3192,1055,ethereum,15.5937
Meebits,Meebits_Dev,387.11,10.0,214.2078,128.9773,53,106,410209,184537.0,0.0056,3379,425,ethereum,124.7991
Mutant Ape YC,Decentraland_Fdn,20.56,12.0,7.2779,2.8863,25,50,484738,266084.0,0.0583,1579,580,solana,3.0896
Otherdeed,LarvaLabs,457.65,2.0,1.559,0.6065,161,644,308428,225086.0,0.0794,3900,327,ethereum,5.8846
CloneX,RTFKTstudios,287.79,11.0,33.73,13.1971,62,310,1328767,,0.0814,4658,15,ethereum,20.5092
Art Blocks,Azuki_Team,252.4,12.0,3.3803,1.8733,140,280,118407,341112.0,0.1235,3114,374,solana,3.2779
Art Blocks,LarvaLabs,6.28,11.0,24.7073,21.3108,53,106,857226,492150.0,0.022,1099,122,solana,7.3111
CloneX,RTFKTstudios,448.93,9.0,4.8723,3.1949,195,390,1164147,398184.0,0.0937,4534,430,ethereum,9.8677
World of Women,Azuki_Team,272.4,13.0,2.9104,2.0998,154,616,1078063,4202.0,0.1414,31,65,ethereum,5.9303
Invisible Friends,Invisible_Studio,412.75,10.0,4.7412,3.6199,75,375,974698,174747.0,0.1495,4480,380,ethereum,6.2802
CryptoPunks,Evan_Conceicao,328.1,12.0,36.8922,11.1265,95,285,446559,4961.0,0.0025,57,857,ethereum,17.2185
Chromie Squiggle,Sandbox_AG,398.55,3.0,3.5294,3.4113,11,22,219012,436631.0,0.1459,300,1012,ethereum,7.3613
Meebits,LarvaLabs,346.77,10.0,6.1847,2.4693,27,54,1976553,322246.0,0.0192,219,1065,ethereum,7.0806
Invisible Friends,SnowFro,460.56,7.0,11.8928,3.5304,199,796,929921,109573.0,0.081,955,673,polygon,4.05
